Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Folha de S.Paulo,5949149,2017-11-08 15:35:04 BRST,Link,27,15,5,0,0,21,1,1,0,,0,0,0,https://www.facebook.com/folhadesp/posts/2104388939603098,(via Folha Cotidiano) #folha,http://bit.ly/2zsSB3E,http://www1.folha.uol.com.br/educacao/2017/11/1933749-falta-de-internet-dificulta-medida-de-alckmin-de-usar-celular-em-aula.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbfolha,Falta de internet dificulta medida de Alckmin de usar celular em aula, ,,,-2.442857142857143
Portal Tudo,16596,2017-11-08 14:56:50 BRST,Photo,2,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/portaltudocomvc/posts/946674658841053,"A primeira-dama do Estado de São Paulo, Lu Alckmin, visitará, amanhã (09), o Polo Regional de Padaria Artesanal, instalado no Fundo Social de Solidariedade de Jundiaí (Funss). Quem vai recebê-la será o prefeito Luiz Fernando e a primeira-dama, Vanessa Machado. O evento será realizado às 13h, no auditório do Funss, que fica dentro do Parque da Uva. #tudocomvc #jundiai #funss 🍞🍞🍞🍞🍞🍞",https://www.facebook.com/portaltudocomvc/photos/a.746976038810917.1073741828.705783899596798/946673465507839/?type=3,,,,,,-0.7142857142857143
O Antagonista,786947,2017-11-08 14:45:06 BRST,Link,166,39,9,2,1,26,0,6,0,,0,0,0,https://www.facebook.com/oantagonista/posts/806143016243275,"""Pode melindrar Alckmin? A hora é de ter coragem de mudar.""",https://www.oantagonista.com/brasil/tasso-para-presidente-brasil/,,"Cássio Cunha Lima empolgado: ""Tasso para presidente (do Brasil)""",,,,-1.9919678714859437
Facenews João Pessoa,107481,2017-11-08 14:42:07 BRST,Link,3,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/faceenewsjp/posts/2138533026172182,,http://www.nordeste1.com/noticia/1414/huck-se-reune-com-joaquim-barbosa-na-pauta-parceri.html,,"Huck se reúne com Joaquim Barbosa; na pauta, parcerias para candidatura a presidente - Portal Nordeste1","De acordo com a colunista da BandNews FM Monica Bergamo, ele se encontrou recentemente com o ex-presidente do STF Joaquim Barbosa e com o governador de São Paulo, Geraldo Alckmin (PSDB).",,,-24.333333333333332
ConJur,517343,2017-11-08 14:29:08 BRST,Link,32,4,13,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/ConsultorJuridico/posts/1597538833638441,,http://dlvr.it/PzvMYN,https://www.conjur.com.br/2017-nov-08/concurso-policia-civil-2750-vagas-salarios-10-mil?utm_source=dlvr.it&utm_medium=facebook,Concurso para Polícia Civil tem 2.750 vagas e salários até R$ 10 mil,"O governador Geraldo Alckmin autorizou, no último dia 1º, o concurso para a Polícia Civil de São Paulo. A publicação no Diário Oficial confirma as 2.750 vagas para diversos cargos de nível médio e superior anunciadas em evento no Palácio dos Bandeirantes. Os salários variam entre R$ 3.428,38 e R$...",,,1.0
Sindicato dos Jornalistas - Regional ABCD,191,2017-11-08 14:24:05 BRST,Link,1,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/sjspregionalabcd/posts/538808629793837,,https://cut.org.br/noticias/sp-apos-manifestacao-conjunta-na-6-professores-vao-ate-alckmin-protestar-contra-b85b/,,CUT Brasil,"Pela manhã, os professores também participam do dia nacional de paralisação, convocado pelas centrais sindicais, contra a ""reforma"" trabalhista do governo Temer.",,,-0.0
Floriano Pesaro,41844,2017-11-08 14:12:47 BRST,Link,31,12,20,3,1,0,0,0,0,,0,0,0,https://www.facebook.com/floriano45/posts/1539588289467064,"#PreparadoParaSP #DeunaMidia Leia e compartilhe a matéria do Jornal Valor Econômico sobre minha pré-candidatura ao Governo de São Paulo. Precisamos ter responsabilidade com São Paulo, estado com os melhores índices do País. Experiência e ética. ""Secretário Pesaro aposta em experiência para disputar governo de SP O secretário de Desenvolvimento Social de São Paulo, Floriano Pesaro, aposta no discurso do “novo com a experiência” para conquistar o apoio do PSDB para concorrer ao governo do Estado na eleição de 2018. “Sou pré-candidato. Estou animado. Não vejo resistência interna. Ao contrário. Meu nome não tem rejeição no partido”, diz Floriano ao receber o Valor na sede da secretaria estadual. Pesaro e o cientista político Luiz Felipe d´Avila são, oficialmente, os únicos pré-candidatos do PSDB à sucessão de Geraldo Alckmin. Cresceu nos últimos dias, no entanto, os rumores sobre um eventual interesse no cargo pelo senador José Serra. Em paralelo, especula-se no PSDB a hipótese de o...",http://www.valor.com.br/politica/5185293/secretario-pesaro-aposta-em-experiencia-para-disputar-governo-de-sp,,Secretário Pesaro aposta em experiência para disputar governo de SP,"Pré-candidato do PSDB ao governo do Estado, secretário de Desenvolvimento Social diz que Alckmin é um dos incentivadores de sua candidatura",,,1.8108108108108107
Arlindo Chinaglia,33826,2017-11-08 12:45:10 BRST,Photo,3,0,1,0,0,0,0,2,0,,0,0,0,https://www.facebook.com/depchinaglia/posts/1948020725447845,"PROJETO DE ALCKMIN ATACA DIREITO DO CONSUMIDOR iniciativa permite que consumidor seja incluído indevidamente no cadastro do Serasa Está na pauta de votação da Assembleia Legislativa projeto lei de autoria do governador Geraldo Alckmin que permite a negativação do nome do consumidor, antes que tenha ciência da existência da dívida. Relator do Código de Defesa do Consumidor o governador Geraldo Alckmin agora apresenta projeto que impede que consumidor seja previamente informado por meio de correspondência registrada AR- Aviso de Recebimento, antes da inclusão de seu nome em cadastro ou banco de dados devedores. Atualmente a Lei do Código do Consumidor, exige que se comprove a ciência do consumidor da existência da dívida e prazos para quitação do débito, por aviso de recebimento (AR) assinado. Para a Bancada do PT este projeto do governador lesa os consumidores, ao retirar a garantia da comunicação do débito, promove retrocesso social, que pode negativar e prejudicar muitas pessoas...",https://www.facebook.com/depchinaglia/photos/a.1390284497888140.1073741828.1390272641222659/1948020668781184/?type=3,,,,,,-6.5
RD1,145527,2017-11-08 12:30:00 BRST,Link,16,0,0,0,0,4,0,0,0,,0,0,0,https://www.facebook.com/rd1oficial/posts/1714036588629057,Veja o que o apresentador do Caldeirão falou sobre os planos políticos,https://rd1.com.br/luciano-huck-diz-que-neste-momento-nao-e-candidato-a-nada-mas-sonda-nomes-para-possivel-ministerio/,,"Luciano Huck diz que ""neste momento"" não é candidato a nada, mas sonda nomes para possível ministério",Luciano Huck sondou Joaquim Barbosa e Geraldo Alckmin para possível ministério; apresentador estaria de olho em Marina Silva como vice.,,,-2.4
Floriano Pesaro,41844,2017-11-08 12:29:57 BRST,Photo,14,4,8,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/floriano45/posts/1539502072809019,"SP CADA VEZ MAIS SEGURO A capital paulista, que já é considerada a capital mais segura do País, recebeu do nosso Governador Geraldo Alckmin o reforço de mais 196 novas viaturas para a Polícia Militar do Estado de São Paulo. Trabalho e compromisso com o povo paulista para São Paulo avançar ainda mais. #PreparadoParaSP #PreparadoParaoBrasil #spparatodos #PM #segurança #AquiÉSP #GovSP",https://www.facebook.com/floriano45/photos/a.276176429141596.64473.267733709985868/1539499776142582/?type=3,,Photos from Floriano Pesaro's post,,,,-1.7777777777777777
Quebrando a Esquerda - Brazil First,233951,2017-11-08 12:00:00 BRST,Link,29,10,9,0,0,14,1,11,0,,0,0,0,https://www.facebook.com/QuebrandoAEsquerda/posts/1334382786673475,"Eu já tinha avisado a muito tempo, ele veio com essa ideia de gestor, mas já se entregou a velha política, disse que ia ficar como prefeito mas já está metendo o pé pra presidente!","http://politica.estadao.com.br/noticias/geral,doria-admite-ser-vice-de-alckmin-e-defende-alianca-de-centro,70002073526",,Doria admite ser vice de Alckmin e defende aliança de centro - Política - Estadão,Tucano diz que aliança encabeçada pelo PSDB pode derrotar Lula e Bolsonaro em 2018,,,-3.4864864864864864
Sérgio Moro,1617537,2017-11-08 11:39:19 BRST,Link,56,36,9,0,0,0,0,10,0,,0,0,0,https://www.facebook.com/SFM.SERGIOMORO/posts/1998983850358780,"#nãoseenganem com Alckmin e Huck O quadro eleitoral, desde ontem, está mais claro. Lula será condenado pelo TRF-4. E Luciano Huck já tem um partido. Leia o comentário de Merval Pereira, em O Globo: “Se a campanha deixar de ser polarizada com a saída de Lula da disputa, Alckmin surge como uma possibilidade conciliadora juntamente com Marina Silva da Rede, retirando da candidatura de Bolsonaro a marca de antilula com que se distingue hoje. Apesar de os partidos políticos tradicionais, como o PSDB, desmoralizados diante da opinião pública, terem pouca força eleitoral neste momento. Por isso a confirmação, dada pelo presidente do PPS Roberto Freire, em entrevista ao blog O Antagonista, de que a candidatura de Luciano Huck pode se tornar realidade ganha ares de fato novo. O que faz de Huck um candidato alternativo está muito bem definido por Freire nessa entrevista: ‘Ele (Huck) surgiu diante do imponderável. Há uma certa perplexidade sobre como serão as eleições em 2018. Os partidos...",https://www.oantagonista.com/brasil/alckmin-e-huck/?utm_source=newsletter&utm_medium=email&utm_campaign=NEWS-OA-2017-11-08-MANHA&utm_content=link-7,,Alckmin e Huck - O Antagonista,"O quadro eleitoral, desde ontem, está mais claro. Lula será condenado pelo TRF-4. E Luciano Huck já tem um partido...",,,-7.72972972972973
Paraná Portal,67777,2017-11-08 11:16:18 BRST,Link,0,0,0,0,0,1,0,0,0,,0,0,0,https://www.facebook.com/paranaportal/posts/778374039029252,,https://goo.gl/f7AQLY,http://paranaportal.uol.com.br/colunas-sintonia-fina/richa-com-alckmin-aniversario-ou-psdb/,Sintonia Fina,https://goo.gl/f7AQLY:=:http://paranaportal.uol.com.br/colunas-sintonia-fina/richa-com-alckmin-aniversario-ou-psdb/,,,-23.0
Floriano Pesaro,41844,2017-11-08 11:04:19 BRST,Photo,15,2,9,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/floriano45/posts/1539436962815530,Aqui é SP. Aqui tem governo. Bom governo. Parabéns SP por escolher o PSDB para governar com responsabilidade e compromisso social. Parabéns Geraldo Alckmin #governosp #desenvolvimentosp #infraestrutura #mobilidade #compromisso #psdb #psdbsp #psdbnacional #PreparadoParaSP #PreparadoParaoBrasil,https://www.facebook.com/floriano45/photos/a.276176429141596.64473.267733709985868/1539436962815530/?type=3,,Timeline Photos,,,,-1.962962962962963
Folha Poder,461758,2017-11-08 11:00:01 BRST,Link,57,12,22,0,1,1,3,4,0,,0,0,0,https://www.facebook.com/folhapoder/posts/1554444881260597,Procuradoria afirma não receber notas fiscais para análise ou qualquer discriminação de como governador abastece sua despensa #folha,http://www1.folha.uol.com.br/poder/2017/11/1933592-orgao-do-tce-diz-faltar-transparencia-em-gasto-de-alckmin-com-comida.shtml?utm_source=facebook&utm_medium=social&utm_campaign=fbpoder,,Órgão do TCE diz faltar transparência em gasto de Alckmin com comida,"Um novo parecer do Ministério Público de Contas aponta que falta transparência aos gastos com alimentação do Palácio dos Bandeirantes, residência oficial do governador Geraldo Alckmin (PSDB).",,,1.7241379310344827
Jornal da Região,243528,2017-11-08 10:30:29 BRST,Link,50,2,1,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/jornaldaregiao1/posts/1446154558831274,,http://www.jr.jor.br/2017/11/08/lu-alckmin-inaugura-polo-de-padaria-artesanal-em-cabreuva/,,Lu Alckmin inaugura Polo de Padaria Artesanal em Cabreúva | JORNAL DA REGIÃO,"A primeira-dama do Estado, Lu Alckmin, inaugura nesta quinta-feira, às 15h30, em Cabreúva, um Polo de Padaria Artesanal, para cursos",,,-5.509433962264151
Pollyana Gama,20467,2017-11-08 10:30:00 BRST,Photo,42,5,7,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/pollyanagama23/posts/1725671920799941,"Voltei a falar com o governador Geraldo Alckmin sobre a finalização do restauro da Basílica de Tremembé, conforme ofício entregue a ele no mês passado. Devido à complexidade das obras, o tempo de execução precisar ser dilatado. O projeto tem quatro fases, sendo necessária a captação de R$ 504.098,00 para sua finalização. #AFederalDoVale",https://www.facebook.com/pollyanagama23/photos/a.271791469521334.73721.262699963763818/1725669377466862/?type=3,,,,,,1.2790697674418605
Carlos Giannazi,75589,2017-11-08 10:00:00 BRST,Photo,41,2,21,0,1,0,0,0,0,,0,0,0,https://www.facebook.com/carlosgiannazioficial/posts/811610615678582,"SERVIDORES DA CAPITAL | Sexta-feira, dia 10/11 será um dia de grande mobilização para mostrar nossa união e nossa força contra as reformas promovidas por Doria, que é aliado de Temer e Alckmin, para retirar direitos de quem trabalha pela população! #NenhumDireitoaMenos",https://www.facebook.com/carlosgiannazioficial/photos/a.148129485360035.1073741828.142073912632259/811609605678683/?type=3,,,,,,-2.230769230769231
Jovem Pan Online,1122190,2017-11-08 09:46:25 BRST,Native Video,35,3,2,1,0,0,0,0,0,original,4224,4235,0,https://www.facebook.com/portaljovempan/posts/10154945257176472,"Vera Magalhães: ""Alckmin adota postura mais discreta na disputa interna da presidência do PSDB"". Ouça ao comentário completo: http://bit.ly/2ztu4eL:=:http://jovempan.uol.com.br/opiniao-jovem-pan/comentaristas/vera-magalhaes/alckmin-adota-postura-mais-discreta-na-disputa-interna-da-presidencia-do-psdb.html",https://www.facebook.com/portaljovempan/videos/10154945257176472/,,,,,,-2.048780487804878
Click Política,7532,2017-11-08 08:50:30 BRST,Link,15,19,27,0,0,4,0,9,0,,0,0,0,https://www.facebook.com/paginaclickpolitica/posts/531385477196327,VEM O SEGUNDO GOLPE! Porta voz da Globo diz que condenação de Lula ‘é certa’ e conclama forças de centro; CONFIRA!,http://clickpolitica.com.br/geral/vem-o-segundo-golpe-porta-voz-da-globo-diz-que-condenacao-de-lula-e-certa-e-conclama-forcas-de-centro-confira/,,VEM O SEGUNDO GOLPE! Porta voz da Globo diz que condenação de Lula ‘é certa’ e conclama forças de centro; CONFIRA!,"Merval Pereira, em O Globo: “Se a campanha deixar de ser polarizada com a saída de Lula da disputa, Alckmin surge como uma possibilidade conciliadora juntamente com Marina Silva da Rede, retirando …",,,2.5517241379310347
Francisco Chagas,43565,2017-11-08 08:32:30 BRST,Link,2,1,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/fchagasf/posts/1499580440120562,Mais um fantoche caçador de modelos ... para servir a grande mídia os banqueiros e o grande capital.,http://www.brasil247.com/pt/colunistas/geral/326241/Globo-descarta-Alckmin-usa-Bolsonaro-e-vai-pro-,https://www.brasil247.com/pt/colunistas/geral/326241/Globo-descarta-Alckmin-usa-Bolsonaro-e-vai-pro-'Huck-ou-nada'.htm,"Globo descarta Alckmin, usa Bolsonaro e vai pro 'Huck ou nada'","""A capa do Globo na internet não deixa dúvida. Nela Merval, o editorialista da Família Marinho, profetiza: 'Alckmin não tem chance contra campanha agressiva'. Na notinha, estranha para uma previsão tão bombástica, argumenta que a campanha será agressiva e que o PSDB, com o caixão de Aécio e o apoio…",,,-15.333333333333334
Vera Magalhães,24770,2017-11-08 08:07:26 BRST,Link,67,4,1,0,2,0,0,0,0,,0,0,0,https://www.facebook.com/veramagalhaes2/posts/872406796242927,Na coluna de hoje falo sobre a estratégia de Alckmin na disputa interna no PSDB. Também na coluna: a decisão de Fachin que “congela” denúncias contra Moreira e Padilha; e o programa do governo que vai reempacotar obras em mais uma tentativa de sair das cordas. Boa leitura!,"http://politica.estadao.com.br/noticias/geral,alckmin-come-quieto,70002075986",,Alckmin come quieto - Política - Estadão,Governador paulista adota na disputa pela presidência do PSDB a mesma estratégia que se mostrou certeira na guerra fria que travou com João Doria pela candidatura presidencial: o silêncio público,,,-1.1216216216216217
Estadão,3692087,2017-11-08 08:02:39 BRST,Link,177,82,13,4,5,24,0,24,0,,0,0,0,https://www.facebook.com/estadao/posts/2219153424766374,Vera Magalhães: 'Governador silencia e espera que rivais se inviabilizem na luta para presidir PSDB; Geraldo Alckmin adota mesma estratégia que se mostrou certeira com João Doria o silêncio público' (Via Politica Estadão) #esadao,"http://politica.estadao.com.br/noticias/geral,alckmin-come-quieto,70002075986",,ANÁLISE: 'Alckmin come quieto',,,,-1.3768996960486322
Diário do Centro do Mundo,303377,2017-11-08 07:43:15 BRST,Link,30,11,9,0,1,40,0,3,0,,0,0,0,https://www.facebook.com/diariodocentrodomundo/posts/2000025653543911,Deixa o meninão!,http://www.diariodocentrodomundo.com.br/essencial/doria-diz-que-nunca-considerou-ser-vice-de-alckmin-e-volta-disputa-presidencial/,,Doria diz que nunca considerou ser vice de Alckmin e volta à disputa presidencial,"Da Coluna do Estadão: O prefeito de São Paulo, João Doria (PSDB), desautorizou seu grupo a especular sobre a possibilidade de ele ser candidato a vice-presidente numa chapa encabeçada por Geraldo A…",,,-4.223404255319149
Por Um Brasil Melhor,113943,2017-11-08 07:40:19 BRST,Link,6,1,0,0,0,0,0,1,0,,0,0,0,https://www.facebook.com/PorUmBrasilMelhorUrgente/posts/793770074159139,,https://www.oantagonista.com/brasil/alckmin-e-huck/,,Alckmin e Huck - O Antagonista,"O quadro eleitoral, desde ontem, está mais claro. Lula será condenado pelo TRF-4. E Luciano Huck já tem um partido...",,,-9.375
Jornal Cotia Agora,N/A,2017-11-08 07:25:15 BRST,Link,4,1,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/cotiaagora/posts/1972111592804208,,http://www.jornalcotiaagora.com.br/alckmin-libera-uso-de-celulares-por-alunos-nas-escolas-estaduais/,,Alckmin libera uso de celulares por alunos nas escolas estaduais – jornalcotiaagora.com.br,COTIDIANO  Alckmin libera uso de celulares por alunos nas escolas estaduais 8 de novembro de 20177 de novembro de 2017 admin celular em escolas Governo promete wi-fi e banda larga nas 5 mil escolas estaduais até outubro do ano que vem. O estudo em São Paulo nas escolas públicas está ruim? Pode ser q...,,,-5.0
O Antagonista,786947,2017-11-08 07:10:09 BRST,Link,620,176,57,3,8,108,3,74,0,,0,0,0,https://www.facebook.com/oantagonista/posts/805943619596548,Alckmin e Huck,https://www.oantagonista.com/?p=69289,https://www.oantagonista.com/brasil/alckmin-e-huck/,Alckmin e Huck - O Antagonista,"O quadro eleitoral, desde ontem, está mais claro. Lula será condenado pelo TRF-4. E Luciano Huck já tem um partido...",,,1.3363057324840764
