Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Grupo Metrópole,172287,2017-11-08 16:36:26 BRST,Link,56,20,15,18,0,3,0,1,0,,0,0,0,https://www.facebook.com/grupometropole/posts/2152508248108457,"""Como vemos, tudo o que ele tem a oferecer é mais violência, medo e ódio"", afirma o texto dos policiais","http://metro1.com.br/noticias/politica/44759,policiais-baianos-lancam-manifesto-e-rejeitam-candidatura-de-bolsonaro-a-presidencia.html",,Policiais baianos lançam manifesto e rejeitam candidatura de Bolsonaro à presidência,"Um grupo de policiais da Bahia divulgou um manifesto nesta quarta-feira (8) em repúdio ao deputado Jair Bolsonaro, pré-candidato à Presidência da República em 2018. Na publicação, o coletivo Policiais Baianos Progressistas e Pela Democracia, ressalta a importância dos direitos humanos e a valorizaçã...",,,1.8225806451612903
Rádio Jornal,214431,2017-11-08 16:35:38 BRST,Link,7,5,2,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/rdjornal/posts/1590226464369119,Carta de Bolsonaro vem a público depois que seus conhecimentos sobre economia viraram tema de debates nas redes sociais,http://radiojornal.ne10.uol.com.br/noticia/2017/11/08/bolsonaro-repete-ato-de-lula-e-escreve-carta-aos-brasileiros-56979?utm_source=fb-rdjornal,,Bolsonaro repete ato de Lula e escreve 'Carta aos Brasileiros',,,,-2.7142857142857144
InfoMoney,1307085,2017-11-08 16:29:06 BRST,Link,57,19,2,5,0,15,0,1,0,,0,0,0,https://www.facebook.com/InfoMoney/posts/1564005870301807,Novo tom do presidenciável,http://bit.ly/2yGR90l,http://www.infomoney.com.br/mercados/politica/noticia/7065640/versao-carta-aos-brasileiros-bolsonaro-nega-totalitarismo-rechaca-ideias-heterodoxas,"Em versão de ""carta aos brasileiros"", Bolsonaro nega totalitarismo e rechaça ideias heterodoxas", ,,,1.596774193548387
GaúchaZH,2584555,2017-11-08 16:25:39 BRST,Link,138,57,6,20,3,17,1,2,0,,0,0,0,https://www.facebook.com/gauchazh/posts/10151069313944956,"O provável ""sim"" deve ser oficializado ainda nesta semana.",https://gauchazh.clicrbs.com.br/politica/noticia/2017/11/bolsonaro-convida-o-polemico-jornalista-luiz-carlos-prates-para-concorrer-a-senador-por-santa-catarina-cj9r32m910bhc01o6bgkhp6yx.html,,Bolsonaro convida o polêmico jornalista Luiz Carlos Prates para concorrer a senador por SC,,,,2.30188679245283
Folha Política,1781751,2017-11-08 16:24:56 BRST,Link,126,12,110,4,2,1,2,4,0,,0,0,0,https://www.facebook.com/FolhaPolitica/posts/885969718230331,'Nós corremos risco de apagão por uma medida terrorista do MST. Eu pergunto: não cabe ao governo federal exercer uma ação preventiva a isso?',http://www.politicanarede.com/2017/11/abin-nao-esta-tomando-as-medidas.html,,"Abin não está tomando as medidas necessárias para evitar atos terroristas do MST, diz Bolsonaro","Imagem: Reprodução / Redes Sociais Pré-candidato à Presidência da República em segundo lugar nas pesquisas, o deputado Jair Bolsonaro (...",,,1.2548076923076923
Revista Caros Amigos,329533,2017-11-08 16:19:27 BRST,Link,1,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/revistacarosamigos/posts/10157401407072228,,https://www.carosamigos.com.br/index.php/cotidiano/11254-quem-e-o-conselheiro-de-economia-de-bolsonaro,,Quem é o conselheiro de economia de Bolsonaro?,"Pesquisador do Ipea defende Escola sem Partido, reformas de Temer, política de encarceramento e garante que Hitler era de esquerda.",,,-25.0
Gilberto Dimenstein,128319,2017-11-08 16:18:50 BRST,Link,4,2,0,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/GilbertoDimenstein/posts/1463683083678747,Bolsonaro perde para Lula no campeonato de rejeição.,,,Catraca Livre,"Em quem você JAMAIS votaria em 2018 num possível segundo turno?

*Criamos uma enquete ontem e depois de mais de 25 mil votos, os dois mais rejeitados foram: Lula (29%) e Bolsonaro (59%).",,,-5.0
"Juiz Sérgio Moro, um herói Nacional",1047808,2017-11-08 16:16:58 BRST,Photo,83,7,0,1,0,1,0,0,0,,0,0,0,https://www.facebook.com/SergioMoroHeroiNacional/posts/1464394163681858,,https://www.facebook.com/PresidenteJBolsonaro/photos/a.1874994699445303.1073741828.1874976382780468/2009958262615612/?type=3,,Presidente Jair Bolsonaro,Há esperança para o Brasil ...,,,-2.358695652173913
O Cafezinho,460461,2017-11-08 16:15:17 BRST,Photo,16,0,0,0,0,1,0,0,0,,0,0,0,https://www.facebook.com/OCafezinho/posts/1624285827594544,Algumas frases de destaque de Manuela D´Ávila na coletiva de imprensa que lançou sua candidatura presidencial.,https://www.facebook.com/theofilo.rodrigues/photos/a.1498613133767840.1073741828.1498084893820664/1744852405810577/?type=3,,Theo Rodrigues,"Terminou agora a coletiva de imprensa de lançamento da candidatura à presidência de Manuela D´Ávila. Destaco 4 frases da candidata:

1 - ""Nossa candidatura é pela construção de uma frente ampla pela retomada dos direitos""

2 - ""Se for eleita convocarei referendos para reverter as medidas impopulares de Temer"".

3 - ""A pré-campanha já começou. Já estamos montando a agenda de visitas nos estados"". 

4 - ""O adversário de Bolsonaro é o bom senso da sociedade brasileira"". #Manu2018",,,-3.3529411764705883
POVO NINJA,493262,2017-11-08 16:14:15 BRST,Live Video,44,146,33,196,9,4,0,8,0,original,678,5206,0,https://www.facebook.com/POVONINJAA/posts/1372046446258091,estamos contabilizando as reaçoes lula bolsonaro ou luciano? link do nosso grupo wats no topo da pagina,https://www.facebook.com/POVONINJAA/videos/1372046446258091/,,,,,,2.588235294117647
Catraca Livre,8746257,2017-11-08 16:13:16 BRST,Link,26,70,0,16,0,28,0,0,0,,0,0,0,https://www.facebook.com/CatracaLivre/posts/1914005935303075,"Na briga com Lula, Bolsonaro a rejeição - e com larga ""vantagem"".",,,Catraca Livre,"Em quem você JAMAIS votaria em 2018 num possível segundo turno?

*Criamos uma enquete ontem e depois de mais de 25 mil votos, os dois mais rejeitados foram: Lula (29%) e Bolsonaro (59%).",,,1.4893617021276595
