Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Mídia Ninja,1635549,2017-11-08 16:30:01 BRST,Photo,18,4,2,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/MidiaNINJA/posts/1013774552114023,O coordenador nacional do MTST Guilherme Boulos estará no Teatro Oficina no domingo dia 12 no VAMOS São Paulo falando sobre os Desafios da Esquerda no Mundo. Participe: http://bit.ly/2Amawbh:=:https://www.facebook.com/events/292476731252304/,https://www.facebook.com/MidiaNINJA/photos/a.164308700393950.1073741828.164188247072662/1013774218780723/?type=3,,,,,,-6.333333333333333
POVO SEM MEDO,142291,2017-11-08 15:45:00 BRST,Photo,10,2,2,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/povosemmedonacional/posts/2026325984305084,O coordenador nacional do MTST Guilherme Boulos estará no Teatro Oficina no domingo dia 12 no VAMOS São Paulo falando sobre os Desafios da Esquerda no Mundo. Participe: http://bit.ly/2Amawbh:=:https://www.facebook.com/events/292476731252304/,https://www.facebook.com/povosemmedonacional/photos/a.1661869510750735.1073741828.1661846900752996/2026325887638427/?type=3,,,,,,-0.16666666666666666
Lamia AbiNader,141478,2017-11-08 13:18:47 BRST,Native Video,14,1,0,1,2,0,0,0,0,original,191,191,0,https://www.facebook.com/LamiaAbinaderHauteCouture/posts/1653808914649720,"Embroidered with love to add passion to your days ❤️ . The Divine Femininity Bridal Collection is now Available, Call now for appointment 03 325 337 . Video By Joseph Boulos Photography",https://www.facebook.com/LamiaAbinaderHauteCouture/videos/1653808914649720/,,,,,,0.0
Revista Vírus,97277,2017-11-08 11:59:00 BRST,Native Video,8,0,0,0,0,0,0,0,0,share,135,3027,0,https://www.facebook.com/revistavirus/posts/1527281157362448,"""Dá uma olhada nesse vídeo de resposta do Guilherme Boulos ao Quebrando o Tabu e a todos que chamam de radicais as/os que lutam por uma vida digna e mais justa!"" – Ítalo Pires Aguiar – SEPE RJ - Oficial https://www.facebook.com/brigadas.populares/videos/1436826223081335/?hc_ref=ARRVz_RpBDMSqD_YOIiLffDYMZGHahSArcNEBpgwCJWt7E_gw4Oq2GGDwroXoh3oCKQ",https://www.facebook.com/brigadas.populares/videos/1436826223081335/,,Brigadas Populares,Dá uma olhada nesse vídeo de resposta do Guilherme Boulos ao Quebrando o Tabu e a todos que chamam de radicais as/os que lutam por uma vida digna e mais justa!,,,-2.5
Marcelo Freixo,761055,2017-11-08 11:31:01 BRST,Native Video,1559,216,403,202,13,29,1,10,0,original,20130,22439,0,https://www.facebook.com/MarceloFreixoPsol/posts/1883637408343173,"Guilherme Boulos, coordenador do MTST (Movimento dos Trabalhadores Sem Teto) responde comentário que o chamava de extremista. Assista!",https://www.facebook.com/MarceloFreixoPsol/videos/1883637408343173/,,Guilherme Boulos​ responde comentário que o chamava de extremista,,,,4.6254752851711025
Kfourians,575801,2017-11-08 10:46:01 BRST,Photo,412,3,6,39,1,0,0,0,0,,0,0,0,https://www.facebook.com/kfourians/posts/1344884542307962,عيد ميلاد سعيد هشام بولس .. منتمنالك كل سنة تلَحنّ النجاح بكل أغنية 🎂🎈🎉 #حكم_القلب #حتى_نلتقي #كيفك_يا_وجعي #خايف #جايي_عالهدا Hicham Boulos,https://www.facebook.com/kfourians/photos/a.619888388140918.1073741829.560924984037259/1344884542307962/?type=3,,Timeline Photos,,,,-1.9414316702819956
PSOL 50,389979,2017-11-08 10:00:00 BRST,Photo,21,5,6,2,0,3,0,1,0,,0,0,0,https://www.facebook.com/psol50oficial/posts/787682734726696,"Time de peso debatendo os desafios da esquerda no Brasil e no mundo neste domingo, em São Paulo: Boaventura de Sousa Santos, Rafa Mayoral (Podemos - Espanha), Marisa Matias (Bloco de Esquerda - Portugal) e Guilherme Boulos. Confirme presença: https://goo.gl/7jctZh:=:https://www.facebook.com/events/292476731252304/?ti=as",https://www.facebook.com/psol50oficial/photos/a.147531972075112.30086.131269027034740/787681581393478/?type=3,,,,,,-7.842105263157895
Gleisi Hoffmann,1007444,2017-11-08 06:00:07 BRST,Native Video,142,38,0,14,1,0,0,4,0,share,2189,6610,0,https://www.facebook.com/gleisi.hoffmann/posts/877814695729118,"Veja como foi o debate com o VAMOS, em Sumaré, São Paulo, junto com o MTST - Movimento dos Trabalhadores Sem-Teto, POVO SEM MEDO, onde falamos dos desafios da esquerda no enfrentamento a crise e os desmontes promovidos por este governo golpista. Bom dia!",https://www.facebook.com/pt.brasil/videos/1539968229422880/,,Partido dos Trabalhadores,"Veja como foi o debate com Gleisi Hoffmann, Guilherme Boulos, o vereador Willian Souza e Soninha  do Partido dos Trabalhadores de Sumaré Pt na Ocupacao Vila Soma, do MTST - Movimento dos Trabalhadores Sem-Teto, em Sumaré (SP), na noite desta segunda-feira. Vale muito apertar o play e compartilhar!",,,-6.090452261306533
Desmascarando,632071,2017-11-08 01:30:35 BRST,Native Video,740,100,0,64,3,10,0,3,0,share,10976,501771,0,https://www.facebook.com/desmascarandoglobo/posts/2088306421401428,Vale a pena escutar o lado dele também...,https://www.facebook.com/quebrandootabu/videos/1670238736365840/,,Quebrando o Tabu,"Esses dias saiu um vídeo aqui no Quebrando o Tabu, feito por um de nossos colunistas, chamando o Guilherme Boulos, coordenador do MTST (Movimento dos Trabalhadores Sem Teto), de extremista.
Depois de várias reações, uns concordando e outros discordando, convidamos o Guilherme Boulos para comentar o vídeo e responder às críticas feitas.",,,-3.3260869565217392
Alexandre Frota,629715,2017-11-08 00:59:11 BRST,Status,15,18,2,1,0,26,0,1,0,,0,0,0,https://www.facebook.com/alexandrefrota/posts/1985398041673708,"Luciano Huck mostra lista de seu Ministério Planejamento, Desenvolvimento e Gestão - Boninho Secretária de Governo - Dani Bananinha Fazenda - Roberto Justos Justiça e Cidadania - Goleiro Bruno Relações Exteriores - Dr Rey Cidades - José Junior Afro Reggee Ciência, Tecnologia, Inovações e Comunicações - Transportes, Portos e Aviação Civil - Eike Batista Saúde - Gracyane Barbosa Agricultura, Pecuária e Abastecimento – Educação e Cultura - Paula Lavigne Turismo - Alvaro Garneiro Desenvolvimento Social e Agrário - Defesa - Minotauro Gabinete de Segurança Institucional - Capitão Nascimento Esporte - Bernardinho Meio Ambiente - Marcelo Freixo Trabalho – Guilherme Boulos Fiscalização, Transparência e Controle .Zé Dirceu Advocacia Geral da União - Seu Pai Huck Pai Caixa - Wesley Batista Minas com Energias - Sérgio Mallandro e as Mallandrinhas Integração Nacional – Antony Garotinho Banco Central - Flávio Rocha Riachuelo",,,,,,,-1.9365079365079365
