Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Valor Econômico,977517,2017-11-08 16:42:38 BRST,Link,9,1,0,0,0,1,0,0,0,,0,0,0,https://www.facebook.com/valoreconomico/posts/1814926091874447,Ciro criticou o fato de Meirelles ter parte de seus recursos em uma conta num paraíso fiscal,http://www.valor.com.br/politica/5186467/ciro-eventual-candidatura-de-meirelles-presidencia-carece-de-pudor?utm_source=Facebook&utm_medium=Social&utm_campaign=Timeline,,Ciro: eventual candidatura de Meirelles à Presidência carece de pudor,"Para pré-candidato à Presidência pelo PDT, qualquer um que guarde dinheiro numa offshore não deveria se candidatar a cargo público",,,-5.0
Reggionline Quotidiano,17476,2017-11-08 16:31:43 BRST,Link,0,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/ReggionlineQuotidiano/posts/1893202040697033,Il film di Ciro Formisano racconta il dramma degli esodati. Abbiamo intervistato il regista e la protagonista Daniela Poggi,http://www.reggionline.com/reggio-emilia-al-rosebud-anteprima-nazionale-del-film-lesodo/,,Al Rosebud l’anteprima nazionale del film “L’Esodo”,"REGGIO EMILIA – Questa sera, alle 21, al cinema comunale Rosebud di Reggio sarà proiettato in anteprima nazionale ‘L’esodo’, il film di Ciro Formisano che, attraverso la storia di una donna di 60 anni interpretata da Daniela Poggi, racconta il dramma degli esodati, le persone rimaste senza un lavoro...",,,-24.0
Pioneiro,209390,2017-11-08 16:30:00 BRST,Photo,0,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/pioneiro/posts/10156022629903846,Ciro Fabres: a experiência humana http://bit.ly/2zm1cHT:=:http://pioneiro.clicrbs.com.br/rs/noticia/2017/11/ciro-fabres-a-experiencia-humana-9988761.html,https://www.facebook.com/pioneiro/photos/a.10150319239023846.366242.154521553845/10156022628828846/?type=3,,,,,,-62.0
Desmascarando,632071,2017-11-08 16:29:47 BRST,Link,42,4,6,5,0,0,0,0,0,,0,0,0,https://www.facebook.com/desmascarandoglobo/posts/2088649014700502,"Alessandro Molon era um dos quadros mais capacitados da bancada do PT na Câmara, ajudva muito especialmente nas matérias jurídicas. É uma boa noticia para o Brasil que eles tenham se juntado ao Ciro. https://www.brasil247.com/pt/247/poder/326312/Deputados-Molon-e-Aliel-da-Rede-trocam-Marina-por-Ciro.htm",https://www.brasil247.com/pt/247/poder/326312/Deputados-Molon-e-Aliel-da-Rede-trocam-Marina-por-Ciro.htm,,"Deputados Molon e Aliel, da Rede, trocam Marina por Ciro","Deputados federais Aliel Machado, do Paraná, e Alessandro Molon, do Rio, decidiram trocar a Rede, de Marina Silva, pelo PDT, de Ciro Gomes; além de estarem de olho nas suas respectivas reeleições à Câmara, em 2018, eles se identificam ideologicamente e veem mais perspectivas de vitória na candidatur...",,,-8.771929824561404
Diario Puntual,300072,2017-11-08 16:05:04 BRST,Link,2,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/PuntualPuebla/posts/1876879018993540,"Se vuelca tráiler en la calzada Zaragoza #CDMX, capitalinos afectados http://bit.ly/2ztb000:=:http://www.diariopuntual.com/nacional/2017/11/08/66251",http://bit.ly/2ztb000,http://www.diariopuntual.com/nacional/2017/11/08/66251,Se vuelca tráiler en Zaragoza: capitalinos afectados,"Esta mañana, el remolque de un tráiler que transportaba un contenedor cerrado, se volcó en la calzada Ignacio Zaragoza, al oriente de la Ciudad de México, debido al mal estado de la carpeta asfáltica y a la presencia de un desnivel.  De acuerdo con información difundida por Ciro Gómez Leyva en…",,,-0.8181818181818182
Benedito de Lira,43031,2017-11-08 16:02:46 BRST,Photo,12,4,1,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/BeneditodeLira/posts/1458055310910054,"A favor da legalização dos jogos no Brasil Na condição de relator do PLS 186/2014, apresentei relatório pela aprovação projeto que legaliza os jogos no Brasil. O projeto é do senador Ciro Nogueira (PP-PI) e entendo que devem ser legalizados, para maiores de 18 anos, jogo do bicho, bingo, vídeo-bingo, apostas esportivas e não esportivas e cassinos on line ou em complexos de lazer integrados. Propus contribuição com alíquotas de 10% ou 20% a serem cobradas de quem obtiver o credenciamento para explorar a atividade. Quanto à distribuição da receita, entendo que a União deve repassar 30% do dinheiro aos municípios e outros 30% aos Estados e Distrito Federal, para serem aplicados obrigatoriamente em saúde, previdência e segurança. Estados e Municípios precisam desses novos recursos.",https://www.facebook.com/BeneditodeLira/photos/a.273527152696215.64889.215225455193052/1458052664243652/?type=3,,,,,,0.9473684210526315
Código San Luis,154575,2017-11-08 15:54:32 BRST,Link,3,0,4,1,0,0,1,1,0,,0,0,0,https://www.facebook.com/CodigoSanLuisperiodico/posts/1709670222424542,"Secuestros, levantones, extorsiones, asaltos y robo, entre las listas de delitos que comenten los agentes municipales de Rioverde H. Ayuntamiento de Rioverde S.L.P. H. Ayuntamiento de San Ciro de Acosta Policía Federal de México Procuraduría General de Justicia San Luis Potosí Gobierno del Estado de San Luis Potosí",http://www.codigosanluis.com/policias-rioverde-ciudad-fernandez-san-ciro-acosta-protagonistas-del-crimen-la-zona-media/,,"Policías de Rioverde, Ciudad Fernández y San Ciro de Acosta, protagonistas del crimen en la zona Media","* Secuestros, levantones, extorsiones, asaltos y robo, entre las listas de delitos que comenten los agentes municipales de Rioverde * Hace unos días policías federales detuvieron a tres municipales cuando intentaban cobrar 80 mil dólares por un secuestro * La banda de delincuentes con placa es solap...",,,-0.4444444444444444
O Tempo,516469,2017-11-08 15:49:46 BRST,Link,6,7,1,1,0,1,0,0,0,,0,0,0,https://www.facebook.com/portalotempo/posts/1566263360122871,"Visando as eleições, FHC disse nessa semana que o partido deve deixar o governo federal ainda neste ano. #otempo",http://www.otempo.com.br/capa/pol%C3%ADtica/ciro-gomes-diz-que-psdb-vai-enganar-o-povo-dizendo-que-n%C3%A3o-%C3%A9-temer-1.1540393,,Ciro Gomes diz que PSDB vai tentar 'enganar o povo dizendo que não é Temer',,,,-4.125
Rádio Itatiaia,658504,2017-11-08 15:47:17 BRST,Link,86,34,13,5,2,8,0,0,0,,0,0,0,https://www.facebook.com/radioitatiaia/posts/1784325878246801,,http://www.itatiaia.com.br/noticia/em-bh-ciro-critica-reformasnbspe-diz-que-gove,,Ciro critica reformas e diz que governo só está lá porque foi autorizado por 'marginais',"O ex-ministro e pré-candidato do PDT à Presidência, Ciro Gomes, afirmou nesta quarta-feira, em Belo Horizonte, que o governo federal tem uma agenda voltada para beneficiar o baronato nacional e internacional. Foi como concluiu a resposta quando perguntado sobre o projeto de reforma previdenciária en...",,,1.2032520325203253
RDTV,122820,2017-11-08 15:45:00 BRST,Photo,6,1,0,0,0,0,1,0,0,,0,0,0,https://www.facebook.com/radiodualtv/posts/2087503154803010,"Inminente ejecución de mexicano en Texas; ya está en pabellón de la muerte A pesar de todos los esfuerzos legales y peticiones de clemencia a las autoridades de Texas es inminente que se concrete la ejecución del ciudadano mexicano Rubén Ramírez Cárdenas como lo identifica la cancillería mexicana, prevista para este miércoles a las 18 horas mediante la inyección letal. De acuerdo con información precisada en el noticiero de Ciro Gómez Leyva, por el corresponsal de Radio Fórmula en Texas, Francisco Villalobos, el mexicano ya se encuentra en el pabellón de la muerte desde ayer y al parecer ya tuvo contacto con su familia. El hombre será ejecutado con una inyección letal este miércoles a las 18:00 horas en la prisión estatal de Huntsville Texas, procedimiento que consiste en la aplicación de tres sustancias, una que lo dejará inconsciente, otra que paralizará sus funciones neurológicas y la última que detendrá su corazón, procedimiento que se llevará entre cinco y diez minutos....",https://www.facebook.com/radiodualtv/photos/a.1545846995635298.1073741827.1538475446372453/2087502621469730/?type=3,,,,,,-7.625
