Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Jornalistas Livres,895614,2017-11-08 16:41:43 BRST,Live Video Complete,6,1,7,1,0,0,1,1,0,original,0,0,0,https://www.facebook.com/jornalistaslivres/posts/632117650245449,"#aovivo Direto da Comissão de Direitos Humanos, na Alesp, deputados de partidos de oposição falam sobre projeto de alimentação escolar, similar ao programa de Doria sobre a ração humana.",https://www.facebook.com/jornalistaslivres/videos/632117650245449/,,,,,,-14.647058823529411
MBL - Movimento Brasil Livre,2511711,2017-11-08 16:37:00 BRST,Photo,7,0,0,0,0,1,0,0,0,,0,0,0,https://www.facebook.com/mblivre/posts/730650717059074,"Vamos discutir: SÁBADO 11/11 09:30h – Credenciamento 10:00h – Coffee 10:30h - 11:45h – Abertura: A confirmar 11:45h - 13:00h – 2° Painel: Fé e Filosofia Política: O Brasil é realmente um pais cristão? - Luiz Felipe Pondé, Francisco Razzo e Martim Vasques da Cunha. Moderador: Rodrigo Simonsen 13:00h - 14:45h – Almoço 14:45h - 16:00h – 3° Painel: Painel Os impactos da reforma trabalhista: Flávio Rocha, Paulo Eduardo Martins, Deputado Rogério Marinho. Moderador: Renato Battista 16:00h - 17:15h – 4° Painel: O Papel da Direita no Brasil pós-impeachment: Joyce Hasselmann, Deputado Marco Feliciano, Alexandre Borges e Luiz Philippe de Orleans e Bragança. Moderador: Eric Balbinus 17:15h - 17:45h – Intervalo 17:45h - 19:00h – 5° Painel: Segurança Pública: Bene Barbosa, Kim Kataguiri, Promotor Marcelo Monteiro e Roberto Motta. Moderador: Arthur do Val (Mamãefalei) 19:00h - 20:15h – 6° Painel: Gestão Inovadora nas Cidades: Ministro das Cidades Bruno Araújo, Prefeito João Doria Jr e Prefeito...",https://www.facebook.com/mblivre/photos/a.204296283027856.1073741829.204223673035117/730650603725752/?type=3,,,,,,-94.0
CartaCapital,1844856,2017-11-08 16:25:02 BRST,Link,68,15,33,0,1,6,0,23,0,,0,0,0,https://www.facebook.com/CartaCapital/posts/1663900960297978,"Demitido por Doria, o assessor Lucas Tavares afirmou em gravação que buracos fazem com que cidade pareça ""um queijo suíço"": https://goo.gl/dyH5gb:=:https://www.cartacapital.com.br/politica/gestao-doria-age-para-dificultar-acesso-a-informacoes-publicas",https://www.cartacapital.com.br/politica/gestao-doria-age-para-dificultar-acesso-a-informacoes-publicas,,Gestão Doria age para dificultar acesso a informações públicas,"Chefe de gabinete da Secretaria de Comunicação foi demitido após afirmar em áudio que iria ""botar para dificultar"" pedido de Lei de Acesso",,,3.106382978723404
Nelson Lima Neto,3592,2017-11-08 16:22:48 BRST,Photo,9,0,1,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/servidorpublicoextra/posts/488023034903888,"Após encontro com deputados, um princípio de confusão tomou conta do entorno da Alerj. Os servidores reclamam que o agente penitenciário identificado como Dória foi detido pelo Batalhão de Choque. Após muita conversa, ele foi liberado.",https://www.facebook.com/servidorpublicoextra/photos/a.367569056949287.1073741828.339854379720755/488022731570585/?type=3,,,,,,-3.0
Sampdorianews.net,18081,2017-11-08 16:18:20 BRST,Link,1,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/Sampdorianews.net/posts/1603055949714695,,https://www.sampdorianews.net/news-doria/linetty-devo-portare-in-nazionale-il-mio-livello-da-sampdoria-99768,,"Linetty: ""Devo portare in nazionale il mio livello da Sampdoria""","In prossimità della gara tra Polonia e Uruguay, in programma per venerdì sera alle 20.45, Karol Linetty è stato avvicinato dai microfoni di Sport.interia.pl. Rispondendo a...",,,-0.9285714285714286
Socialista Morena,476005,2017-11-08 16:14:13 BRST,Native Video,10,5,0,0,0,0,9,18,0,share,781,12165,0,https://www.facebook.com/SocialistaMorena/posts/1607910159269481,o sadismo da prefeitura de são paulo contra pessoas pobres,https://www.facebook.com/jornalistaslivres/videos/632020943588453/,,Jornalistas Livres,"URGENTE! O prefeito João Dória Jr, através da Guarda Civil Metropolitana e agentes da Lei Cidade Limpa, agiram mais uma vez de forma higienista ao prender, na região da Praça do Patriarca, um conhecido catador de produtos recicláveis. A equipe de remoção apreendeu o carrinho do catador, que ficou incoformado e acabou sendo detido também.

Além dele, um assistente social que estava filmando também foi levado, contra sua vontade, pela Guarda Civil Metropolitana apenas por estar documentando a ação.  

Vídeo de Renan Prado para os Jornalistas Livres",,,-2.119047619047619
Rede Brasil Atual,122548,2017-11-08 16:10:00 BRST,Link,1,1,3,0,1,2,0,2,0,,0,0,0,https://www.facebook.com/redebrasilatual/posts/10155784636235883,"Chefe de gabinete da secretaria especial de Comunicação, Lucas Tavares, foi gravado orientando equipe a criar dificuldades no acesso de jornalistas a dados por meio da Lei de Acesso à Informação.",http://www.redebrasilatual.com.br/politica/numero-dois-da-comunicacao-de-doria-cai-por-falta-de-transparencia,,Número dois da Comunicação de Doria cai por falta de transparência,"Chefe de gabinete da secretaria especial de Comunicação, Lucas Tavares, foi gravado orientando equipe a criar dificuldades no acesso de jornalistas a dados por meio da Lei de Acesso à Informação",,,-2.6
Poder360,12852,2017-11-08 15:55:11 BRST,Link,3,1,1,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/Poder360/posts/1539063939517185,"O prefeito de São Paulo demitiu nesta 4ª feira (8.nov.2017) o chefe de gabinete da Secretaria Especial de Comunicação, Lucas Tavares. Ele havia sido gravado orientando como dificultar que jornalistas tivessem acesso a informações.",https://www.poder360.com.br/brasil/joao-doria-demite-chefe-que-vai-botar-para-dificultar-acesso-a-informacao/,,João Doria demite chefe que 'vai botar para dificultar' acesso à informação,"Em áudio, Lucas Tavares orienta como driblar Lei de Acesso. Doria: chefe de gabinete da Secom ‘falou o que não devia’.",,,-0.6666666666666666
Correio da Amazônia,57621,2017-11-08 15:54:48 BRST,Link,6,3,0,0,0,4,0,0,0,,0,0,0,https://www.facebook.com/correiodaamazonia/posts/1743354922370631,　,https://correiodaamazonia.com/doria-vem-manaus-provocar-o-candidato-presidente-arthur-neto/,,"Dória vem a Manaus provocar o ""candidato a presidente"", Arthur Neto - Correio da Amazônia","O prefeito de São Paulo, João Dória (PSDB), vai ser recebido nesta quinta-feira (9) em Manaus, por autoridades e pelos maiores empresários do Amazonas. Dória visita a capital amazonense após ser provocado pelo prefeito Arthur Neto que diz que quer ser o candidato à Presidente pelo seu partido,o PSDB...",,,-0.13333333333333333
ABC do ABC,184652,2017-11-08 15:49:24 BRST,Link,1,0,0,0,1,0,0,0,0,,0,0,0,https://www.facebook.com/abcdoabc/posts/1613896202009011,"Doria demitiu o chefe de gabinete da Secretaria Especial de Comunicação, Lucas Tavares que foi gravado dizendo que ia dificultar o acesso á informações públicas",http://www.abcdoabc.com.br/brasil-mundo/noticia/doria-demite-chefe-gabinete-que-dificultava-transparencia-prefeitura-57411,,Doria demite chefe de gabinete que dificultava transparência na Prefeitura,"O prefeito de São Paulo demitiu o chefe de gabinete da Secretaria Especial de Comunicação, Lucas Tavares, gravado em uma reunião em que buscava dificultar o acesso a informações públicas",,,-10.0
