Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Roberto Freire,103127,2017-11-08 16:45:00 BRST,Link,2,0,0,0,0,0,1,0,0,,0,0,0,https://www.facebook.com/DepRobertoFreire/posts/1859514434076592,"Em entrevista ao Valor Econômico sobre as perspectivas para as eleições de 2018, reafirmei que o PPS está aberto para conversar com Luciano Huck e com o movimento Agora!, que reúne jovens lideranças em busca de melhorar a política. Partido é algo muito datado da sociedade industrial. Coisa do passado. É uma instituição que será substituída nessa sociedade digital. Na internet, nas redes. As formas de representação política serão diferentes. E esses movimentos que estão acontecendo nas redes representam o novo. Ainda não sei como será. Mas é o que vem por aí. E como nós representamos o que vai ficando por aí, acho um encontro muito importante para nós: http://bit.ly/2zH0DZC:=:http://www.robertofreire.org.br/site/noticias/item/3776-ao-valor-econ%C3%B4mico-freire-diz-que-pps-est%C3%A1-aberto-para-conversar-com-agora-e-huck",http://www.robertofreire.org.br/site/noticias/item/3776-ao-valor-econ%C3%B4mico-freire-diz-que-pps-est%C3%A1-aberto-para-conversar-com-agora-e-huck,,"Ao Valor Econômico, Freire diz que PPS está 'aberto' para conversar com Agora! e Huck","Por: Ricardo Mendonça, do Valor Econômico Presidente nacional do PPS, o deputado federal Roberto Freire (SP) disse ontem, em entrevista ao Valor,...",,,-12.666666666666666
Receitas de hoje,1832817,2017-11-08 16:29:00 BRST,Link,4,1,0,0,1,0,0,0,0,,0,0,0,https://www.facebook.com/receitasdehoje/posts/1160501957417009,,http://portalmulher.com.br/fatura-do-cartao-de-credito-de-huck-e-angelica-cai-na-net-e-causa-revolta-na-internet-veja-tudo/,,Fatura do cartão de crédito de Huck e Angélica cai na net e causa revolta na internet – Veja tudo!,"Uma fatura do cartão de crédito do apresentador Luciano Huck caiu na internet. Os valores impressionam, não é para um comum mortal pagar isto do cartão.",,,-6.5
Época,2385201,2017-11-08 16:27:27 BRST,Link,48,95,17,2,2,49,2,28,0,,0,0,0,https://www.facebook.com/epoca/posts/10154996242621430,O PPS quer Luciano Huck candidato à Presidência da República em 2018 | na Expresso,https://glo.bo/2zu2rCi,http://epoca.globo.com/politica/expresso/noticia/2017/11/ministro-da-defesa-e-presidente-do-pps-se-encontrarao-com-huck-na-quinta-feira.html?utm_source=facebook&utm_medium=social&utm_campaign=post,Ministro da Defesa e presidente do PPS se encontrarão com Huck na quinta-feira,Partido avança nas tratativas para que o apresentador de TV se candidate ao Planalto em 2018 pela legenda,,,5.4
Por Um Brasil Melhor,113943,2017-11-08 16:20:55 BRST,Link,7,18,2,0,2,0,0,6,0,,0,0,0,https://www.facebook.com/PorUmBrasilMelhorUrgente/posts/793954437474036,Huck encomenda pesquisas para medir suas chances para presidente,https://www.noticiasbrasilonline.com.br/huck-encomenda-pesquisas-para-medir-suas-chances-para-presidente/,,Huck encomenda pesquisas para medir suas chances para presidente - Noticias Brasil Online,"Enquanto se reúne com partidos e apoia movimentos de renovação da política, o apresentador de TV e empresário Luciano Huck encomendou pesquisas para medir suas intenções de voto para presidente da República. Políticos que conversaram com ele nos últimos meses e pessoas próximas dizem que Huck avalia...",,,-1.1428571428571428
Operação Lava Jato - Apoio Ao Juiz Sergio Moro,488670,2017-11-08 16:15:12 BRST,Link,30,77,16,2,3,34,1,22,0,,0,0,0,https://www.facebook.com/lavajatosergiomoro/posts/1567561299998568,Huck encomenda pesquisas para medir suas chances para presidente,https://www.noticiasbrasilonline.com.br/huck-encomenda-pesquisas-para-medir-suas-chances-para-presidente/,,Huck encomenda pesquisas para medir suas chances para presidente - Noticias Brasil Online,"Enquanto se reúne com partidos e apoia movimentos de renovação da política, o apresentador de TV e empresário Luciano Huck encomendou pesquisas para medir suas intenções de voto para presidente da República. Políticos que conversaram com ele nos últimos meses e pessoas próximas dizem que Huck avalia...",,,4.743589743589744
M1tei,713015,2017-11-08 14:00:01 BRST,Link,9,3,0,0,0,2,0,0,0,,0,0,0,https://www.facebook.com/M1teiOficial/posts/498366800543020,será que ele vai???,https://goo.gl/HdXLXv,https://onoticioso.com/luciano-huck-conversa-com-joaquim-barbosa-sobre-as-eleicoes-2018/?utm_source=fb_parceiro&utm_medium=cpm&utm_campaign=87b97&slot=684a2,Luciano Huck conversa com Joaquim Barbosa sobre as eleições 2018,"Após revelar sua intenção de candidatar-se para presidência da república, o apresentador Luciano Huck reuniu-se com o ex-presidente do STF, Joaquim Barbosa",,,-3.7142857142857144
Valor Econômico,977517,2017-11-08 13:04:45 BRST,Link,52,63,7,3,0,82,1,33,0,,0,0,0,https://www.facebook.com/valoreconomico/posts/1814689065231483,"""Neste momento da minha vida eu não sou candidato a nada"", afirmou o apresentador",http://www.valor.com.br/politica/5185817/pps-esta-aberto-para-receber-filiacao-de-luciano-huck-diz-freire?utm_source=Facebook&utm_medium=Social&utm_campaign=Timeline,,"""PPS está aberto para receber filiação de Luciano Huck"", diz Freire","Presidente nacional do PPS disse que esteve com Huck dois meses atrás, mas que, na ocasião, o apresentador lhe disse que não seria candidato",,,2.6483516483516483
Época,2385201,2017-11-08 13:02:04 BRST,Link,145,199,26,5,7,112,5,67,0,,0,0,0,https://www.facebook.com/epoca/posts/10154995778441430,Huck tem conversado com dirigentes da sigla. Na coluna Expresso,https://glo.bo/2zoGJlq,http://epoca.globo.com/politica/expresso/noticia/2017/11/pps-adia-congresso-para-dar-tempo-luciano-huck-decidir-se-sera-candidato-presidente.html?utm_source=facebook&utm_medium=social&utm_campaign=post,PPS adia congresso para dar tempo a Luciano Huck decidir se será candidato a presidente,Legenda definiria seu futuro em dezembro. Ficou para março,,,4.387596899224806
Expresso,64478,2017-11-08 12:40:44 BRST,Link,5,4,27,1,0,7,0,1,0,,0,0,0,https://www.facebook.com/expressoepoca/posts/1938550732829469,,https://glo.bo/2zoGJlq,http://epoca.globo.com/politica/expresso/noticia/2017/11/pps-adia-congresso-para-dar-tempo-luciano-huck-decidir-se-sera-candidato-presidente.html?utm_source=facebook&utm_medium=social&utm_campaign=post,PPS adia congresso para dar tempo a Luciano Huck decidir se será candidato a presidente,Legenda definiria seu futuro em dezembro. Ficou para março,,,1.4516129032258065
Conversa Afiada Oficial,748998,2017-11-08 12:38:05 BRST,Native Video,953,49,448,5,8,155,5,25,0,original,17211,17890,0,https://www.facebook.com/Conversa.Afiada.Oficial/posts/2048640745162776,"O notável colonista Ataulpho Merval apoia Luciano Huck para as eleições de 2018! Roberto Freire, do PPS, também! Saiba mais na nova edição da TV Afiada!",https://www.facebook.com/Conversa.Afiada.Oficial/videos/2048640745162776/,,Tem que combinar com o Serra!,,,,-1.0606796116504855
