Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Apoio ao Moro,744276,2017-11-08 16:45:45 BRST,Link,2,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/apoioaomoro/posts/540267423006960,,http://www.gazetasocial.com/2016/03/advogados-de-lula-pedem-direito-de.html,,Folha Política,,,,-15.0
Juiz Sergio Moro - O Brasil está com você,1418129,2017-11-08 16:43:48 BRST,Native Video,0,0,0,0,0,0,0,0,0,share,0,1368311,0,https://www.facebook.com/juizsergiomorobrasil/posts/754184494968990,,https://www.facebook.com/MovimentoContraCorrupcao/videos/1101253383320262/,,MCC - Movimento Contra Corrupção,"VEJAM O NÍVEL DE DESRESPEITO DESSE VAGABUNDO PARA COM O JUIZ SERGIO MORO! Eu compartilho em apoio ao juiz Moro! Juiz Sergio Moro - O Brasil está com você
Advogado de Lula bate boca com Sergio Moro, insinua que ele age como nazista e parte para a baixaria

O Brasil venceu a primeira batalha! A luta está apenas começando! FAÇA A SUA PARTE!
#Compartilhe
Curta MCC - Movimento Contra Corrupção",,,-100.0
Diário Policial - João Lima,60780,2017-11-08 16:43:48 BRST,Native Video,0,0,0,0,0,0,0,0,0,share,0,1368311,0,https://www.facebook.com/diariopolicialnoticias/posts/992370067572445,,https://www.facebook.com/MovimentoContraCorrupcao/videos/1101253383320262/,,MCC - Movimento Contra Corrupção,"VEJAM O NÍVEL DE DESRESPEITO DESSE VAGABUNDO PARA COM O JUIZ SERGIO MORO! Eu compartilho em apoio ao juiz Moro! Juiz Sergio Moro - O Brasil está com você
Advogado de Lula bate boca com Sergio Moro, insinua que ele age como nazista e parte para a baixaria

O Brasil venceu a primeira batalha! A luta está apenas começando! FAÇA A SUA PARTE!
#Compartilhe
Curta MCC - Movimento Contra Corrupção",,,-14.0
Apoio ao Moro,744276,2017-11-08 16:43:47 BRST,Native Video,0,0,0,0,0,0,0,0,0,share,0,1368311,0,https://www.facebook.com/apoioaomoro/posts/540266943007008,,https://www.facebook.com/MovimentoContraCorrupcao/videos/1101253383320262/,,MCC - Movimento Contra Corrupção,"VEJAM O NÍVEL DE DESRESPEITO DESSE VAGABUNDO PARA COM O JUIZ SERGIO MORO! Eu compartilho em apoio ao juiz Moro! Juiz Sergio Moro - O Brasil está com você
Advogado de Lula bate boca com Sergio Moro, insinua que ele age como nazista e parte para a baixaria

O Brasil venceu a primeira batalha! A luta está apenas começando! FAÇA A SUA PARTE!
#Compartilhe
Curta MCC - Movimento Contra Corrupção",,,-54.0
Movimento Contra Corrupção - São Paulo,322886,2017-11-08 16:43:47 BRST,Native Video,1,0,0,0,0,0,0,0,0,share,0,1368311,0,https://www.facebook.com/MCCSaoPaulo/posts/1834268983263606,,https://www.facebook.com/MovimentoContraCorrupcao/videos/1101253383320262/,,MCC - Movimento Contra Corrupção,"VEJAM O NÍVEL DE DESRESPEITO DESSE VAGABUNDO PARA COM O JUIZ SERGIO MORO! Eu compartilho em apoio ao juiz Moro! Juiz Sergio Moro - O Brasil está com você
Advogado de Lula bate boca com Sergio Moro, insinua que ele age como nazista e parte para a baixaria

O Brasil venceu a primeira batalha! A luta está apenas começando! FAÇA A SUA PARTE!
#Compartilhe
Curta MCC - Movimento Contra Corrupção",,,-0.9285714285714286
O Cafezinho,460461,2017-11-08 16:38:28 BRST,Link,7,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/OCafezinho/posts/1624304784259315,,https://www.facebook.com/events/140920906536344/,,O Brasil Vai Parar,"10.NOV | O BRASIL VAI PARAR | DIA NACIONAL DE PARALISAÇÃO E MOBILIZAÇÃO

Desde a derrubada parlamentar da presidenta Dilma em 2016 que a Frente Brasil Popular afirma tratar-se de um golpe de Estado, com apoio da mídia e do judiciário, para atender aos interesses do grande capital – internacional e nacional – de parlamentares envolvidos com corrupção e de setores politizados do sistema de justiça.

A cada mês ficou mais claro que, agindo fora do ambiente democrático, as elites partiram para cima visando destruir direitos das classes trabalhadoras e impedir a mobilização popular.

Acontece que agora o governo do ilegítimo de Michel Temer, está ainda mais fragilizado. Para tentar ganhar força novamente, ele buscará votar a reforma da previdência, atendendo aos interesses do grande capital.

Para a esquerda em geral, é urgente rearticular as grandes mobilizações de rua, combinadas com intenso trabalho de base visando impor uma derrota progressiva ao governo ilegítimo e sua base...",,,-15.714285714285714
Rádio Jornal,214431,2017-11-08 16:35:38 BRST,Link,7,5,2,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/rdjornal/posts/1590226464369119,Carta de Bolsonaro vem a público depois que seus conhecimentos sobre economia viraram tema de debates nas redes sociais,http://radiojornal.ne10.uol.com.br/noticia/2017/11/08/bolsonaro-repete-ato-de-lula-e-escreve-carta-aos-brasileiros-56979?utm_source=fb-rdjornal,,Bolsonaro repete ato de Lula e escreve 'Carta aos Brasileiros',,,,-2.7142857142857144
Operação Lava Jato - Apoio Ao Juiz Sergio Moro,488670,2017-11-08 16:33:00 BRST,Link,34,4,25,0,4,1,0,4,0,,0,0,0,https://www.facebook.com/lavajatosergiomoro/posts/1567574956663869,E as malas de dinheiro do Lula levadas pela Rosemary Noronha para Portugal depositadas no Banco Espírito Santo!,https://www.noticiasbrasilonline.com.br/e-as-malas-de-dinheiro-do-lula-levadas-pela-rosemary-noronha-para-portugal-depositadas-no-banco-espirito-santo/,,E as malas de dinheiro do Lula levadas pela Rosemary Noronha para Portugal depositadas no Banco Espírito Santo! - Noticias Brasil Online,O Banco Espírito Santo (BES) que fica em Portugal faliu e uma fortuna foi deixada para trás numa conta que segundo autoridades portuguesas pode pertencer ao expresidente Lula. Os investigadores suspeitam que os 40 milhões de euros (R$ 153 milhões) esquecidos na conta do BES pode ser parte de um esqu...,,,1.263157894736842
Jornalivre,130888,2017-11-08 16:30:00 BRST,Link,12,0,7,0,0,1,0,0,0,,0,0,0,https://www.facebook.com/jornalivrebrasil/posts/1714712908540559,"Para Chinaglia, se mantiver uma bancada do porte atual, com 57 representantes, será um milagre.",http://jornalivre.com/2017/11/08/petista-arlindo-chinaglia-acha-que-lula-esta-descolado-da-realidade-ao-dizer-que-vai-aumentar-bancada/,https://jornalivre.com/2017/11/08/petista-arlindo-chinaglia-acha-que-lula-esta-descolado-da-realidade-ao-dizer-que-vai-aumentar-bancada/,Petista Arlindo Chinaglia acha que Lula “está descolado da realidade” ao dizer que vai aumentar bancada,Lula propaga sua suposta esperança de aumentar o número de deputados do PT em 2019. Seria interessante o ex-presidente bater um papo com seus correlegionários da Câmara para evitar frustrações. Arl…,,,-2.8
Você Precisa Saber,215831,2017-11-08 16:28:13 BRST,Native Video,3,0,0,0,0,0,0,0,0,share,177,4646,0,https://www.facebook.com/voceprecisasaberoficial/posts/1987504421492464,,https://www.facebook.com/NovoBrasiloficial/videos/2023599184538630/,,Novo Brasil,"Urgente: Moro consegue provas finais contra Lula em depoimento de Roberto Teixeira à Lava Jato!
#Compartilhe
Veja>>> Acaba de vazar na internet o SEGREDO de ganhar na LOTOMANIA,veja antes que saia do ar…
Clique aqui>>> https://saudevidaefamilia.com/acaba-de-vazar-na-internet-o-segredo-de-ganhar-na-lotomaniaveja-antes-que-saia-do-ar/",,,-16.666666666666668
Você Precisa Saber,215831,2017-11-08 16:26:54 BRST,Native Video,10,0,0,0,0,0,0,0,0,share,287,4646,0,https://www.facebook.com/voceprecisasaberoficial/posts/1987503954825844,,https://www.facebook.com/NovoBrasiloficial/videos/2023599184538630/,,Novo Brasil,"Urgente: Moro consegue provas finais contra Lula em depoimento de Roberto Teixeira à Lava Jato!
#Compartilhe",,,-5.0
