Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Alice Portugal,72913,2017-11-08 16:14:42 BRST,Live Video Complete,1,1,1,1,0,0,0,0,0,original,47,44,0,https://www.facebook.com/deputadaaliceportugal/posts/1301068383332321,"No Plenário, a líder Alice Portugal apresenta a pré-candidata do PCdoB à Presidência da República, Manuela D'Ávila.",https://www.facebook.com/deputadaaliceportugal/videos/1301068383332321/,,,,,,-20.5
Portal do Movimento Popular,175221,2017-11-08 16:11:25 BRST,Youtube,0,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/PortaldoMP/posts/1296629793776819,,https://www.youtube.com/watch?v=t68o1-iwZdc&sns=fb,,✌#Manu2018 Entrevista coletiva de Manuela d'Ávila👊,✌#Manu2018 Entrevista coletiva de Manuela d'Ávila pré-candidata a Presidência da República pelo PCdoB 👊,,,0.0
CartaCapital,1844856,2017-11-08 15:58:38 BRST,Link,260,34,11,18,1,18,0,2,0,,0,0,0,https://www.facebook.com/CartaCapital/posts/1663879720300102,Manuela D'Ávila explica que proposta de governo do PcdoB é retomar o crescimento do País e resgatar os direitos sociais. https://goo.gl/DDt6uo:=:https://www.cartacapital.com.br/politica/candidatura-nao-preve-lula-fora-da-disputa-diz-manuela-davila,https://www.cartacapital.com.br/politica/candidatura-nao-preve-lula-fora-da-disputa-diz-manuela-davila,,"Candidatura não prevê Lula fora da disputa, diz Manuela Dávila","Candidata à presidência pelo PCdoB, a deputada explica os objetivos eleitorais do partido e nega distanciamento com o PT",,,4.586666666666667
Polibio Braga,16609,2017-11-08 15:53:16 BRST,Link,0,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/polibio.braga.1/posts/1956075327965337,,http://www.polibiboraga.com.br/,,Polibio Braga,"Leia no site www.polibiobraga.com.br:

51% dos leitores acham que Câmara fez bem ao liberar Michel Temer
51% dos leitores acham que a Câmara fez bem em rejeitar o pedido do STF para processar Michel Temer, segundo enquete encerrada por este blog.

31% acham que não.

11% não quiseram falar.

Outra enquete, já disponível, pergunta em qual destes gaúchos os eleitores locais votariam para presidente: João Vicente Goulart, Manuela D'Ávila, Luciana Genro ou Wambert Di Lorenzo.",,,-6.0
Polibio Braga,16609,2017-11-08 15:52:54 BRST,Link,0,0,1,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/polibio.braga.1/posts/1956075224632014,"Leia no site www.polibiobraga.com.br: 51% dos leitores acham que Câmara fez bem ao liberar Michel Temer 51% dos leitores acham que a Câmara fez bem em rejeitar o pedido do STF para processar Michel Temer, segundo enquete encerrada por este blog. 31% acham que não. 11% não quiseram falar. Outra enquete, já disponível, pergunta em qual destes gaúchos os eleitores locais votariam para presidente: João Vicente Goulart, Manuela D'Ávila, Luciana Genro ou Wambert Di Lorenzo.",http://www.polibiboraga.com.br/,,www.polibiboraga.com.br,,,,-0.6666666666666666
Vanessa Grazziotin,276879,2017-11-08 15:44:01 BRST,Native Video,164,7,0,10,1,0,1,5,0,share,1795,17913,0,https://www.facebook.com/VanessaGrazziotin/posts/1429826200448217,Tamos juntas! #MANU2018,https://www.facebook.com/manueladavila/videos/2369400019775111/,,Manuela D'Ávila,,,,1.898989898989899
Deputada Federal Jô Moraes,47844,2017-11-08 15:39:40 BRST,Native Video,24,1,0,0,0,0,0,1,0,share,213,32026,0,https://www.facebook.com/deputadajomoraes/posts/2083600851656826,Coletiva com a ManuEla!,https://www.facebook.com/pcdob65/videos/1695905613752974/,,PCdoB - Partido Comunista do Brasil,"#AoVivo | Entrevista coletiva de Manuela D'Ávila pré-candidata a Presidência da República pelo PCdoB.

#Manu2018",,,1.368421052631579
PCdoB/SP,1596,2017-11-08 15:35:28 BRST,Native Video,3,0,0,0,0,0,0,0,0,share,11,32026,0,https://www.facebook.com/pcdob.saopaulo/posts/1675142492506897,,https://www.facebook.com/pcdob65/videos/1695905613752974/,,PCdoB - Partido Comunista do Brasil,"#AoVivo | Entrevista coletiva de Manuela D'Ávila pré-candidata a Presidência da República pelo PCdoB.

#Manu2018",,,0.0
O Cafezinho,460461,2017-11-08 15:34:16 BRST,Native Video,156,15,0,12,2,0,0,4,0,share,2794,17913,0,https://www.facebook.com/OCafezinho/posts/1624253957597731,Coletiva de imprensa com Manuela d´ Ávila agora ao vivo.#Manu2018,https://www.facebook.com/manueladavila/videos/2369400019775111/,,Manuela D'Ávila,,,,2.1235955056179776
Jornalistas Livres,895614,2017-11-08 15:34:10 BRST,Live Video Complete,104,42,22,25,1,2,0,0,0,original,3962,4343,0,https://www.facebook.com/jornalistaslivres/posts/632079446915936,Entrevista coletiva de Manuela d'Ávila para falar sobre sua pré-candidatura à presidência da República pelo PCdoB.,https://www.facebook.com/jornalistaslivres/videos/632079446915936/,,Entrevista coletiva Manuela D'Avila,,,,-1.2704081632653061
Jandira Feghali,899450,2017-11-08 15:33:00 BRST,Native Video,621,62,0,94,7,16,3,8,0,share,14692,32808,0,https://www.facebook.com/sigajandira2/posts/1768806656487322,,https://www.facebook.com/pcdob65/videos/1695905613752974/,,PCdoB - Partido Comunista do Brasil,"#AoVivo | Entrevista coletiva de Manuela D'Ávila pré-candidata a Presidência da República pelo PCdoB.

#Manu2018",,,-1.4303329223181258
Assis Melo - PCdoB,11480,2017-11-08 15:31:27 BRST,Live Video Complete,11,1,6,1,1,0,0,0,0,original,121,141,0,https://www.facebook.com/AssisMeloOficial/posts/1953460331591332,Entrevista Coletiva com Manuela D'ávila e Luciana Santos sobre a pré-candidatura de Manu à Presidência da República pelo PCdoB. #Manu2018,https://www.facebook.com/AssisMeloOficial/videos/1953460331591332/,,,,,,1.0526315789473684
Conversa Afiada Oficial,748998,2017-11-08 15:31:25 BRST,Native Video,375,28,0,39,5,16,2,3,0,share,8484,32026,0,https://www.facebook.com/Conversa.Afiada.Oficial/posts/2048849438475240,"#AoVivo | Entrevista coletiva de Manuela d'Ávila, pré-candidata à Presidência da República pelo PCdoB.",https://www.facebook.com/pcdob65/videos/1695905613752974/,,PCdoB - Partido Comunista do Brasil,"#AoVivo | Entrevista coletiva de Manuela D'Ávila pré-candidata a Presidência da República pelo PCdoB.

#Manu2018",,,-2.1132478632478633
Portal Vermelho,117947,2017-11-08 15:31:15 BRST,Native Video,29,1,0,7,0,0,0,2,0,share,611,17329,0,https://www.facebook.com/vermelhobrasil/posts/1714234175294111,,https://www.facebook.com/manueladavila/videos/2369400019775111/,,Manuela D'Ávila,,,,-1.7435897435897436
Luciana Santos,106557,2017-11-08 15:30:13 BRST,Live Video Complete,127,88,44,32,0,5,2,1,0,original,1259,1573,0,https://www.facebook.com/deputadalucianaoficial/posts/1472298082877151,"Acompanhe #AoVivo entrevista coletiva de Manuela D'ávila, pré-candidata à presidência da República pelo PCdoB. #Manu2018",https://www.facebook.com/deputadalucianaoficial/videos/1472298082877151/,,,,,,3.359550561797753
Deputado Chico Lopes,95821,2017-11-08 15:29:59 BRST,Live Video Complete,51,22,8,11,0,0,0,1,0,original,676,714,0,https://www.facebook.com/depchicolopes/posts/1586277608119704,"Acompanhe #aovivo a entrevista coletiva de Manuela D'Ávila, pré-candidata à Presidência da República. #manu2018",https://www.facebook.com/depchicolopes/videos/1586277608119704/,,"Entrevista coletiva de Manuela D'Ávila, pré-candidata à Presid...",,,,1.1625
O Cafezinho,460461,2017-11-08 15:28:45 BRST,Youtube,0,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/OCafezinho/posts/1624249987598128,"Começaram os preparativos para a entrevista coletiva com a candidata à presidência, Manuela D´Ávila. #Manu2018",https://www.youtube.com/watch?v=t68o1-iwZdc,,✌#Manu2018 Entrevista coletiva de Manuela d'Ávila👊,✌#Manu2018 Entrevista coletiva de Manuela d'Ávila pré-candidata a Presidência da República pelo PCdoB 👊,,,-88.0
Mídia Ninja,1635549,2017-11-08 15:28:10 BRST,Live Video Complete,434,533,110,140,2,26,1,15,0,original,13722,14568,0,https://www.facebook.com/MidiaNINJA/posts/1013784245446387,Entrevista coletiva de Manuela d'Ávila pré-candidata a Presidência da República pelo PCdoB.,https://www.facebook.com/MidiaNINJA/videos/1013784245446387/,,#AoVivoEntrevista coletiva de Manuela d'Ávila,,,,1.2959917780061665
