Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Desmascarando,632071,2017-11-08 16:29:47 BRST,Link,42,4,6,5,0,0,0,0,0,,0,0,0,https://www.facebook.com/desmascarandoglobo/posts/2088649014700502,"Alessandro Molon era um dos quadros mais capacitados da bancada do PT na Câmara, ajudva muito especialmente nas matérias jurídicas. É uma boa noticia para o Brasil que eles tenham se juntado ao Ciro. https://www.brasil247.com/pt/247/poder/326312/Deputados-Molon-e-Aliel-da-Rede-trocam-Marina-por-Ciro.htm",https://www.brasil247.com/pt/247/poder/326312/Deputados-Molon-e-Aliel-da-Rede-trocam-Marina-por-Ciro.htm,,"Deputados Molon e Aliel, da Rede, trocam Marina por Ciro","Deputados federais Aliel Machado, do Paraná, e Alessandro Molon, do Rio, decidiram trocar a Rede, de Marina Silva, pelo PDT, de Ciro Gomes; além de estarem de olho nas suas respectivas reeleições à Câmara, em 2018, eles se identificam ideologicamente e veem mais perspectivas de vitória na candidatur...",,,-8.771929824561404
Debate Progressista,145917,2017-11-08 15:35:34 BRST,Link,144,15,11,9,3,1,0,0,0,,0,0,0,https://www.facebook.com/dprogressista/posts/1513344005428595,,http://dlvr.it/Pzvv7V,http://www.debateprogressista.com.br/aliel-machado-e-alessandro-molon-se-filiam-ao-pdt-de-ciro-gomes/?utm_source=dlvr.it&utm_medium=facebook,Aliel Machado e Alessandro Molon se filiam ao PDT de Ciro Gomes,"Os deputados Aliel Machado, do Paraná, e Alessandro Molon, do Rio, decidiram trocar a Rede, de Marina Silva, pelo PDT,",,,4.6923076923076925
Verdade sem manipulação,657309,2017-11-08 15:06:41 BRST,Link,365,34,39,36,14,6,0,0,0,,0,0,0,https://www.facebook.com/VerdadeSemManipulacao/posts/809452569179558,Cansaram da indecisão da Marina.,http://www.debateprogressista.com.br/aliel-machado-e-alessandro-molon-se-filiam-ao-pdt-de-ciro-gomes/,,Aliel Machado e Alessandro Molon se filiam ao PDT de Ciro Gomes,"Os deputados Aliel Machado, do Paraná, e Alessandro Molon, do Rio, decidiram trocar a Rede, de Marina Silva, pelo PDT, de Ciro Gomes. Além de estarem de ol",,,1.976
Brasil 247,891020,2017-11-08 14:30:01 BRST,Link,604,82,115,31,12,60,2,0,0,,0,0,0,https://www.facebook.com/Brasil247/posts/1801403803245952,Debandada da Rede,https://www.brasil247.com/pt/247/poder/326312/Deputados-Molon-e-Aliel-da-Rede-trocam-Marina-por-Ciro.htm,,"Deputados Molon e Aliel, da Rede, trocam Marina por Ciro","Deputados federais Aliel Machado, do Paraná, e Alessandro Molon, do Rio, decidiram trocar a Rede, de Marina Silva, pelo PDT, de Ciro Gomes; além de estarem de olho nas suas respectivas reeleições à Câmara, em 2018, eles se identificam ideologicamente e veem mais perspectivas de vitória na candidatur...",,,3.418867924528302
Metal Church,140768,2017-11-08 13:06:12 BRST,Photo,30,0,1,3,0,0,0,0,0,,0,0,0,https://www.facebook.com/OfficialMetalChurch/posts/2186961958022286,Rick Van Zandt at Vagos Metal Fest (photo credit Marina Silva) #MetalChurch #tour2017 #TheShredder #JacksonGuitars,https://www.facebook.com/OfficialMetalChurch/photos/a.456583467726819.124234.197555876962914/2186960634689085/?type=3,,,,,,-3.0294117647058822
RD1,145527,2017-11-08 12:30:00 BRST,Link,16,0,0,0,0,4,0,0,0,,0,0,0,https://www.facebook.com/rd1oficial/posts/1714036588629057,Veja o que o apresentador do Caldeirão falou sobre os planos políticos,https://rd1.com.br/luciano-huck-diz-que-neste-momento-nao-e-candidato-a-nada-mas-sonda-nomes-para-possivel-ministerio/,,"Luciano Huck diz que ""neste momento"" não é candidato a nada, mas sonda nomes para possível ministério",Luciano Huck sondou Joaquim Barbosa e Geraldo Alckmin para possível ministério; apresentador estaria de olho em Marina Silva como vice.,,,-2.4
Sérgio Moro,1617537,2017-11-08 11:39:19 BRST,Link,56,36,9,0,0,0,0,10,0,,0,0,0,https://www.facebook.com/SFM.SERGIOMORO/posts/1998983850358780,"#nãoseenganem com Alckmin e Huck O quadro eleitoral, desde ontem, está mais claro. Lula será condenado pelo TRF-4. E Luciano Huck já tem um partido. Leia o comentário de Merval Pereira, em O Globo: “Se a campanha deixar de ser polarizada com a saída de Lula da disputa, Alckmin surge como uma possibilidade conciliadora juntamente com Marina Silva da Rede, retirando da candidatura de Bolsonaro a marca de antilula com que se distingue hoje. Apesar de os partidos políticos tradicionais, como o PSDB, desmoralizados diante da opinião pública, terem pouca força eleitoral neste momento. Por isso a confirmação, dada pelo presidente do PPS Roberto Freire, em entrevista ao blog O Antagonista, de que a candidatura de Luciano Huck pode se tornar realidade ganha ares de fato novo. O que faz de Huck um candidato alternativo está muito bem definido por Freire nessa entrevista: ‘Ele (Huck) surgiu diante do imponderável. Há uma certa perplexidade sobre como serão as eleições em 2018. Os partidos...",https://www.oantagonista.com/brasil/alckmin-e-huck/?utm_source=newsletter&utm_medium=email&utm_campaign=NEWS-OA-2017-11-08-MANHA&utm_content=link-7,,Alckmin e Huck - O Antagonista,"O quadro eleitoral, desde ontem, está mais claro. Lula será condenado pelo TRF-4. E Luciano Huck já tem um partido...",,,-7.72972972972973
Time Ciro Gomes,406794,2017-11-08 11:11:09 BRST,Link,2952,144,195,305,22,36,2,4,0,,0,0,0,https://www.facebook.com/TimeCiroGomes/posts/1833487566943515,E o Time de Ciro Gomes não para de crescer!,https://www.esmaelmorais.com.br/2017/11/deputados-molon-e-aliel-da-rede-trocam-marina-por-ciro/,,"Deputados Molon e Aliel, da Rede, trocam Marina por Ciro","Os deputados Aliel Machado, do Paraná, e Alessandro Molon, do Rio, decidiram trocar a Rede, de Marina Silva, pelo PDT, de Ciro Gomes. Além de estarem de olho nas suas respectivas reeleições à Câmara, em 2018, eles se identificam ideologicamente … Continue lendo →",,,4.485294117647059
MBM - Movimento Brasil Melhor,139162,2017-11-08 10:33:15 BRST,Link,7,34,11,14,23,1,0,0,0,,0,0,0,https://www.facebook.com/movimentbrasilmelhor/posts/1408592785930723,"Marina Silva fala sobre o ""Legado dos Jogos Olímpicos"" no Brasil.",https://deolhonapolitica.org/2017/11/08/o-legado-olimpico-deixou-o-brasil-cansado-da-politica-populista-diz-marina-silva/,,"O legado olímpico deixou o Brasil cansado da política populista, diz Marina Silva","A Rio 2016 foi uma grande frustação para o povo brasileiro entre um contínuo escândalo de corrupção e crescimento do populismo que ameaça piorar uma longa crise política, afirmou Marina Silva. Mari…",,,2.4324324324324325
Click Política,7532,2017-11-08 08:50:30 BRST,Link,15,19,27,0,0,4,0,9,0,,0,0,0,https://www.facebook.com/paginaclickpolitica/posts/531385477196327,VEM O SEGUNDO GOLPE! Porta voz da Globo diz que condenação de Lula ‘é certa’ e conclama forças de centro; CONFIRA!,http://clickpolitica.com.br/geral/vem-o-segundo-golpe-porta-voz-da-globo-diz-que-condenacao-de-lula-e-certa-e-conclama-forcas-de-centro-confira/,,VEM O SEGUNDO GOLPE! Porta voz da Globo diz que condenação de Lula ‘é certa’ e conclama forças de centro; CONFIRA!,"Merval Pereira, em O Globo: “Se a campanha deixar de ser polarizada com a saída de Lula da disputa, Alckmin surge como uma possibilidade conciliadora juntamente com Marina Silva da Rede, retirando …",,,2.5517241379310347
